year,additional_bus_stop_time
2017,1.8064208990000001
2017,1.1721655367000001
2017,1.9902917634000001
2017,1.7997033886
2017,2.4102939565
2017,2.8015889301000003
2017,2.1931495595
2017,2.3584806124
2017,2.1153765790000003
2017,1.8291510014
2017,1.8748436649999998
2017,2.0936931334
2017,3.8738390405000005
2017,2.3379128104999998
2017,1.4272338922999999
2017,1.4988001705
2017,1.2956550908
2017,3.634636669
2017,2.1419636456999998
2017,1.2946900359
2017,3.4661451663
2017,1.6158876991
2017,2.411578902
2017,2.3210714594999997
2017,2.3235026571999997
2017,2.3385848231
2017,1.3508806499000001
2017,2.4247060606999997
2017,1.8947332758000002
2017,1.0848557112
2017,2.3466912037
2017,2.8815088358
2017,2.0371298222
2017,1.7647573038000002
2017,1.6575333215
2017,2.8621477402
2017,1.896913327
2017,2.38070544
2017,1.7575503342
2017,2.7846959063
2017,1.924111667
2017,1.9879019063999999
2017,2.3555050925
2017,2.1170101588000003
2017,1.9835400302
2017,2.4216328821
2017,2.4828396747
2017,2.0898955393
2017,1.0571059473
2017,1.9553441712000001
2017,2.3507520979
2017,1.8087853272
2017,2.882916217
2017,1.7163566999
2017,1.8932200494
2017,1.4030709169
2017,1.6829235748999998
2017,1.4755450332
2017,1.2811619177
2017,1.2638040149
2017,2.4129448049
2017,1.6216981086
2017,2.334767836
2017,2.7192601074
2017,2.0830141239
2017,1.7339405282000002
2017,2.1599834846
2017,2.0286604978
2017,1.6402764542
2017,2.478788233
2017,2.5257157675
2017,1.3599191438
2017,1.1432216533
2017,1.6267745021
2017,1.8020195443000002
2017,1.6086815729000001
2017,1.8444332572
2017,1.9359687727000001
2017,2.6682113310999998
2017,2.4216754543
2017,2.0724179667000002
2017,1.6085309393
2017,1.9103775196000001
2017,1.4067306736
2017,2.1287017231
2017,2.4634500943999997
2017,1.7425394839
2017,2.0403843345999997
2017,1.8728047782000001
2017,1.8512919644
2017,3.1121787949999997
2017,2.6066073013
2017,1.512337769
2017,1.2095254917
2017,1.02761311425
2017,1.1896125729
2017,1.663878846
2017,1.6104623439
2017,1.7067884627
2017,1.5609434854
2017,1.2830708012999998
2017,2.0029543095
2017,1.9586515675999998
2017,1.8243782249999998
2017,1.8581173611000001
2017,1.9835450651
2017,2.2076218099
2017,1.0415678089
2017,3.4639649999
2017,1.5445106040999999
2017,1.3904020528
2017,1.8979221384999998
2017,1.6567590077999998
2017,2.2395147041000003
2017,3.1346999842
2017,2.2950814534
2017,2.4339236813
2017,1.0433418251
2017,1.7522439690999998
2017,1.499499325
2017,1.2318426813
2017,1.2046224913999999
2017,1.8696481633000002
2017,1.3282354016
2017,2.3696453478
2017,2.0295757524
2017,2.6139349897999997
