Year,Quarter,Revenue
2020,Q4,176589181.98075
2021,Q1,160244916.2193
2021,Q2,197066807.67564997
2021,Q3,206087875.95
2021,Q4,207140898.41665
2022,Q1,181456697.7685
2022,Q2,202307590.683
2022,Q3,196498825.52850002
2022,Q4,187213145.92805
2023,Q1,183103077.1306
2023,Q2,184035382.06570002
2023,Q3,177517781.03325
2023,Q4,157951550.42589998
2024,Q1,147416822.37974998
2024,Q2,148079507.2856
2024,Q3,152191976.9508
2024,Q4,175427939.43029997
