year,Annual_MDBF
2015,5316.583333333333
2016,8442.683333333332
2017,8839.633333333333
2018,8468.316666666668
2019,9753.433333333332
2020,11348.216666666667
2021,9886.0
2022,9113.083333333334
2023,8965.7
2024,8085.716666666666
2025,6627.433333333333
