year,scheduled_to_actual_ratio
2015,0.9550533809368629
2016,0.9731568645079458
2017,0.973457801719177
2018,0.9724139294481954
2019,0.9522444096768266
2020,0.9458692115392247
2021,0.9135445681838578
2022,0.9242514916838993
2023,0.9293302711538468
2024,0.9215633816686603
2025,0.9360004680242621
