year,avg_additional_bus_stop_time
2017,2.0787371472046363
2018,1.9740347976550114
2019,2.4076778038560294
2020,2.2572635582013385
2021,2.873867616630802
2022,2.7908257276123174
2023,2.6953519150660226
2024,3.081755659086179
2025,2.7798320792128743
