year,avg_additional_time
2017,3.014075532115108
2018,2.7418876717502494
2019,3.518505253833837
2020,2.4312560308514195
2021,3.1015686188141416
2022,3.465084447505168
2023,3.4819551782967553
2024,4.023328205223183
2025,3.587929800180191
