Year,Ridership,Average Daily Ridership
2014,792632407.0,2171595.6356164385
2015,776081306.0,2126250.1534246574
2016,764030270.0,2093233.6164383562
2017,724834684.0,1985848.4493150685
2018,690809496.0,1892628.7561643836
2019,677588084.0,1856405.709589041
2020,147387699.0,403801.91506849317
2021,381637866.0,1045583.194520548
2022,423946824.0,1161498.1479452054
2023,425539799.0,1165862.4630136986
2024,408872440.0,1120198.4657534247
2025*,394496879.56221193,1080813.3686635944
