Year,Average Weekday,Average Saturday,Average Sunday,Average Weekend,Annual Total
2014,407115,228304,175552,403826,125581237
2015,405978,228976,176503,405478,125399522
2016,407201,225844,174057,399902,125617157
2017,396229,222833,173565,396398,122214328
2018,392617,224751,170892,395643,121448276
2019,388075,228364,171762,400126,120551580
