Month,Agency,Projection,Recovery
11/01/2020,MTA Consolidated,Midpoint (May 2020),0.225
11/01/2020,MTA Consolidated,Worst Case (May 2020),0
11/01/2020,MTA Consolidated,Best Case (Nov 2020),0.33
11/01/2020,MTA Consolidated,Midpoint (Nov 2020),0.33
11/01/2020,MTA Consolidated,Worst Case (Nov 2020),0.33
11/01/2020,MTA Consolidated,Best Case (Dec 2020),0.36
11/01/2020,MTA Consolidated,Midpoint (Dec 2020),0.36
11/01/2020,MTA Consolidated,Worst Case (Dec 2020),0.36
12/01/2020,Subway,Best Case (Dec 2020),0.33
12/01/2020,Subway,Midpoint (Dec 2020),0.33
12/01/2020,Subway,Worst Case (Dec 2020),0.33
12/01/2020,Bus,Best Case (Dec 2020),0.45
12/01/2020,Bus,Midpoint (Dec 2020),0.45
12/01/2020,Bus,Worst Case (Dec 2020),0.45
12/01/2020,LIRR,Best Case (Dec 2020),0.25
12/01/2020,LIRR,Midpoint (Dec 2020),0.25
12/01/2020,LIRR,Worst Case (Dec 2020),0.25
12/01/2020,MNR,Best Case (Dec 2020),0.23
12/01/2020,MNR,Midpoint (Dec 2020),0.23
12/01/2020,MNR,Worst Case (Dec 2020),0.23
12/01/2020,SIR,Best Case (Dec 2020),0.33
12/01/2020,SIR,Midpoint (Dec 2020),0.33
12/01/2020,SIR,Worst Case (Dec 2020),0.33
12/01/2020,BT,Best Case (May 2020),0.65
12/01/2020,BT,Midpoint (May 2020),0.5
12/01/2020,BT,Worst Case (May 2020),0.35
12/01/2020,BT,Best Case (Nov 2020),0.87
12/01/2020,BT,Midpoint (Nov 2020),0.87
12/01/2020,BT,Worst Case (Nov 2020),0.87
12/01/2020,BT,Best Case (Dec 2020),0.87
12/01/2020,BT,Midpoint (Dec 2020),0.87
12/01/2020,BT,Worst Case (Dec 2020),0.87
12/01/2020,MTA Consolidated,Best Case (May 2020),0.45
12/01/2020,MTA Consolidated,Midpoint (May 2020),0.225
12/01/2020,MTA Consolidated,Worst Case (May 2020),0
12/01/2020,MTA Consolidated,Best Case (Nov 2020),0.33
12/01/2020,MTA Consolidated,Midpoint (Nov 2020),0.33
12/01/2020,MTA Consolidated,Worst Case (Nov 2020),0.33
12/01/2020,MTA Consolidated,Best Case (Dec 2020),0.36
12/01/2020,MTA Consolidated,Midpoint (Dec 2020),0.36
12/01/2020,MTA Consolidated,Worst Case (Dec 2020),0.36
01/01/2021,Subway,Best Case (Dec 2020),0.41
01/01/2021,Subway,Midpoint (Dec 2020),0.29
01/01/2021,Subway,Worst Case (Dec 2020),0.17
01/01/2021,Bus,Best Case (Dec 2020),0.51
01/01/2021,Bus,Midpoint (Dec 2020),0.37
01/01/2021,Bus,Worst Case (Dec 2020),0.23
01/01/2021,LIRR,Best Case (Dec 2020),0.32
01/01/2021,LIRR,Midpoint (Dec 2020),0.23
01/01/2021,LIRR,Worst Case (Dec 2020),0.14
01/01/2021,MNR,Best Case (Dec 2020),0.3
01/01/2021,MNR,Midpoint (Dec 2020),0.205
01/01/2021,MNR,Worst Case (Dec 2020),0.11
01/01/2021,SIR,Best Case (Dec 2020),0.41
01/01/2021,SIR,Midpoint (Dec 2020),0.29
01/01/2021,SIR,Worst Case (Dec 2020),0.17
01/01/2021,BT,Best Case (May 2020),0.65
01/01/2021,BT,Midpoint (May 2020),0.5
01/01/2021,BT,Worst Case (May 2020),0.35
01/01/2021,BT,Best Case (Nov 2020),0.86
01/01/2021,BT,Midpoint (Nov 2020),0.785
01/01/2021,BT,Worst Case (Nov 2020),0.71
01/01/2021,BT,Best Case (Dec 2020),0.86
01/01/2021,BT,Midpoint (Dec 2020),0.785
01/01/2021,BT,Worst Case (Dec 2020),0.71
01/01/2021,MTA Consolidated,Best Case (May 2020),0.55
01/01/2021,MTA Consolidated,Midpoint (May 2020),0.325
01/01/2021,MTA Consolidated,Worst Case (May 2020),0.1
01/01/2021,MTA Consolidated,Best Case (Nov 2020),0.36
01/01/2021,MTA Consolidated,Midpoint (Nov 2020),0.27
01/01/2021,MTA Consolidated,Worst Case (Nov 2020),0.18
01/01/2021,MTA Consolidated,Best Case (Dec 2020),0.43
01/01/2021,MTA Consolidated,Midpoint (Dec 2020),0.305
01/01/2021,MTA Consolidated,Worst Case (Dec 2020),0.18
02/01/2021,Subway,Best Case (Dec 2020),0.41
02/01/2021,Subway,Midpoint (Dec 2020),0.29
02/01/2021,Subway,Worst Case (Dec 2020),0.17
02/01/2021,Bus,Best Case (Dec 2020),0.51
02/01/2021,Bus,Midpoint (Dec 2020),0.37
02/01/2021,Bus,Worst Case (Dec 2020),0.23
02/01/2021,LIRR,Best Case (Dec 2020),0.32
02/01/2021,LIRR,Midpoint (Dec 2020),0.23
02/01/2021,LIRR,Worst Case (Dec 2020),0.14
02/01/2021,MNR,Best Case (Dec 2020),0.3
02/01/2021,MNR,Midpoint (Dec 2020),0.205
02/01/2021,MNR,Worst Case (Dec 2020),0.11
02/01/2021,SIR,Best Case (Dec 2020),0.41
02/01/2021,SIR,Midpoint (Dec 2020),0.29
02/01/2021,SIR,Worst Case (Dec 2020),0.17
02/01/2021,BT,Best Case (May 2020),0.65
02/01/2021,BT,Midpoint (May 2020),0.513
02/01/2021,BT,Worst Case (May 2020),0.375
02/01/2021,BT,Best Case (Nov 2020),0.86
02/01/2021,BT,Midpoint (Nov 2020),0.785
02/01/2021,BT,Worst Case (Nov 2020),0.71
02/01/2021,BT,Best Case (Dec 2020),0.86
02/01/2021,BT,Midpoint (Dec 2020),0.785
02/01/2021,BT,Worst Case (Dec 2020),0.71
02/01/2021,MTA Consolidated,Best Case (May 2020),0.55
02/01/2021,MTA Consolidated,Midpoint (May 2020),0.338
02/01/2021,MTA Consolidated,Worst Case (May 2020),0.125
02/01/2021,MTA Consolidated,Best Case (Nov 2020),0.36
02/01/2021,MTA Consolidated,Midpoint (Nov 2020),0.27
02/01/2021,MTA Consolidated,Worst Case (Nov 2020),0.18
02/01/2021,MTA Consolidated,Best Case (Dec 2020),0.43
02/01/2021,MTA Consolidated,Midpoint (Dec 2020),0.305
02/01/2021,MTA Consolidated,Worst Case (Dec 2020),0.18
03/01/2021,Subway,Best Case (Dec 2020),0.41
03/01/2021,Subway,Midpoint (Dec 2020),0.29
03/01/2021,Subway,Worst Case (Dec 2020),0.17
03/01/2021,Bus,Best Case (Dec 2020),0.51
03/01/2021,Bus,Midpoint (Dec 2020),0.37
03/01/2021,Bus,Worst Case (Dec 2020),0.23
03/01/2021,LIRR,Best Case (Dec 2020),0.32
03/01/2021,LIRR,Midpoint (Dec 2020),0.23
03/01/2021,LIRR,Worst Case (Dec 2020),0.14
03/01/2021,MNR,Best Case (Dec 2020),0.3
03/01/2021,MNR,Midpoint (Dec 2020),0.205
03/01/2021,MNR,Worst Case (Dec 2020),0.11
03/01/2021,SIR,Best Case (Dec 2020),0.41
03/01/2021,SIR,Midpoint (Dec 2020),0.29
03/01/2021,SIR,Worst Case (Dec 2020),0.17
03/01/2021,BT,Best Case (May 2020),0.675
03/01/2021,BT,Midpoint (May 2020),0.538
03/01/2021,BT,Worst Case (May 2020),0.4
03/01/2021,BT,Best Case (Nov 2020),0.86
03/01/2021,BT,Midpoint (Nov 2020),0.785
03/01/2021,BT,Worst Case (Nov 2020),0.71
03/01/2021,BT,Best Case (Dec 2020),0.86
03/01/2021,BT,Midpoint (Dec 2020),0.785
03/01/2021,BT,Worst Case (Dec 2020),0.71
03/01/2021,MTA Consolidated,Best Case (May 2020),0.55
03/01/2021,MTA Consolidated,Midpoint (May 2020),0.35
03/01/2021,MTA Consolidated,Worst Case (May 2020),0.15
03/01/2021,MTA Consolidated,Best Case (Nov 2020),0.36
03/01/2021,MTA Consolidated,Midpoint (Nov 2020),0.27
03/01/2021,MTA Consolidated,Worst Case (Nov 2020),0.18
03/01/2021,MTA Consolidated,Best Case (Dec 2020),0.43
03/01/2021,MTA Consolidated,Midpoint (Dec 2020),0.305
03/01/2021,MTA Consolidated,Worst Case (Dec 2020),0.18
04/01/2021,Subway,Best Case (Dec 2020),0.49
04/01/2021,Subway,Midpoint (Dec 2020),0.37
04/01/2021,Subway,Worst Case (Dec 2020),0.25
04/01/2021,Bus,Best Case (Dec 2020),0.56
04/01/2021,Bus,Midpoint (Dec 2020),0.445
04/01/2021,Bus,Worst Case (Dec 2020),0.33
04/01/2021,LIRR,Best Case (Dec 2020),0.4
04/01/2021,LIRR,Midpoint (Dec 2020),0.305
04/01/2021,LIRR,Worst Case (Dec 2020),0.21
04/01/2021,MNR,Best Case (Dec 2020),0.38
04/01/2021,MNR,Midpoint (Dec 2020),0.275
04/01/2021,MNR,Worst Case (Dec 2020),0.17
04/01/2021,SIR,Best Case (Dec 2020),0.49
04/01/2021,SIR,Midpoint (Dec 2020),0.37
04/01/2021,SIR,Worst Case (Dec 2020),0.25
04/01/2021,BT,Best Case (May 2020),0.7
04/01/2021,BT,Midpoint (May 2020),0.563
04/01/2021,BT,Worst Case (May 2020),0.425
04/01/2021,BT,Best Case (Nov 2020),0.98
04/01/2021,BT,Midpoint (Nov 2020),0.915
04/01/2021,BT,Worst Case (Nov 2020),0.85
04/01/2021,BT,Best Case (Dec 2020),0.98
04/01/2021,BT,Midpoint (Dec 2020),0.915
04/01/2021,BT,Worst Case (Dec 2020),0.85
04/01/2021,MTA Consolidated,Best Case (May 2020),0.575
04/01/2021,MTA Consolidated,Midpoint (May 2020),0.388
04/01/2021,MTA Consolidated,Worst Case (May 2020),0.2
04/01/2021,MTA Consolidated,Best Case (Nov 2020),0.44
04/01/2021,MTA Consolidated,Midpoint (Nov 2020),0.345
04/01/2021,MTA Consolidated,Worst Case (Nov 2020),0.25
04/01/2021,MTA Consolidated,Best Case (Dec 2020),0.5
04/01/2021,MTA Consolidated,Midpoint (Dec 2020),0.385
04/01/2021,MTA Consolidated,Worst Case (Dec 2020),0.27
05/01/2021,Subway,Best Case (Dec 2020),0.49
05/01/2021,Subway,Midpoint (Dec 2020),0.37
05/01/2021,Subway,Worst Case (Dec 2020),0.25
05/01/2021,Bus,Best Case (Dec 2020),0.56
05/01/2021,Bus,Midpoint (Dec 2020),0.445
05/01/2021,Bus,Worst Case (Dec 2020),0.33
05/01/2021,LIRR,Best Case (Dec 2020),0.4
05/01/2021,LIRR,Midpoint (Dec 2020),0.305
05/01/2021,LIRR,Worst Case (Dec 2020),0.21
05/01/2021,MNR,Best Case (Dec 2020),0.38
05/01/2021,MNR,Midpoint (Dec 2020),0.275
05/01/2021,MNR,Worst Case (Dec 2020),0.17
05/01/2021,SIR,Best Case (Dec 2020),0.49
05/01/2021,SIR,Midpoint (Dec 2020),0.37
05/01/2021,SIR,Worst Case (Dec 2020),0.25
05/01/2021,BT,Best Case (May 2020),0.725
05/01/2021,BT,Midpoint (May 2020),0.588
05/01/2021,BT,Worst Case (May 2020),0.45
05/01/2021,BT,Best Case (Nov 2020),0.98
05/01/2021,BT,Midpoint (Nov 2020),0.915
05/01/2021,BT,Worst Case (Nov 2020),0.85
05/01/2021,BT,Best Case (Dec 2020),0.98
05/01/2021,BT,Midpoint (Dec 2020),0.915
05/01/2021,BT,Worst Case (Dec 2020),0.85
05/01/2021,MTA Consolidated,Best Case (May 2020),0.6
05/01/2021,MTA Consolidated,Midpoint (May 2020),0.425
05/01/2021,MTA Consolidated,Worst Case (May 2020),0.25
05/01/2021,MTA Consolidated,Best Case (Nov 2020),0.44
05/01/2021,MTA Consolidated,Midpoint (Nov 2020),0.345
05/01/2021,MTA Consolidated,Worst Case (Nov 2020),0.25
05/01/2021,MTA Consolidated,Best Case (Dec 2020),0.5
05/01/2021,MTA Consolidated,Midpoint (Dec 2020),0.385
05/01/2021,MTA Consolidated,Worst Case (Dec 2020),0.27
06/01/2021,Subway,Best Case (Dec 2020),0.49
06/01/2021,Subway,Midpoint (Dec 2020),0.37
06/01/2021,Subway,Worst Case (Dec 2020),0.25
06/01/2021,Bus,Best Case (Dec 2020),0.56
06/01/2021,Bus,Midpoint (Dec 2020),0.445
06/01/2021,Bus,Worst Case (Dec 2020),0.33
06/01/2021,LIRR,Best Case (Dec 2020),0.4
06/01/2021,LIRR,Midpoint (Dec 2020),0.305
06/01/2021,LIRR,Worst Case (Dec 2020),0.21
06/01/2021,MNR,Best Case (Dec 2020),0.38
06/01/2021,MNR,Midpoint (Dec 2020),0.275
06/01/2021,MNR,Worst Case (Dec 2020),0.17
06/01/2021,SIR,Best Case (Dec 2020),0.49
06/01/2021,SIR,Midpoint (Dec 2020),0.37
06/01/2021,SIR,Worst Case (Dec 2020),0.25
06/01/2021,BT,Best Case (May 2020),0.75
06/01/2021,BT,Midpoint (May 2020),0.625
06/01/2021,BT,Worst Case (May 2020),0.5
06/01/2021,BT,Best Case (Nov 2020),0.98
06/01/2021,BT,Midpoint (Nov 2020),0.915
06/01/2021,BT,Worst Case (Nov 2020),0.85
06/01/2021,BT,Best Case (Dec 2020),0.98
06/01/2021,BT,Midpoint (Dec 2020),0.915
06/01/2021,BT,Worst Case (Dec 2020),0.85
06/01/2021,MTA Consolidated,Best Case (May 2020),0.625
06/01/2021,MTA Consolidated,Midpoint (May 2020),0.463
06/01/2021,MTA Consolidated,Worst Case (May 2020),0.3
06/01/2021,MTA Consolidated,Best Case (Nov 2020),0.44
06/01/2021,MTA Consolidated,Midpoint (Nov 2020),0.345
06/01/2021,MTA Consolidated,Worst Case (Nov 2020),0.25
06/01/2021,MTA Consolidated,Best Case (Dec 2020),0.5
06/01/2021,MTA Consolidated,Midpoint (Dec 2020),0.385
06/01/2021,MTA Consolidated,Worst Case (Dec 2020),0.27
07/01/2021,Subway,Best Case (Dec 2020),0.68
07/01/2021,Subway,Midpoint (Dec 2020),0.49
07/01/2021,Subway,Worst Case (Dec 2020),0.3
07/01/2021,Bus,Best Case (Dec 2020),0.77
07/01/2021,Bus,Midpoint (Dec 2020),0.575
07/01/2021,Bus,Worst Case (Dec 2020),0.38
07/01/2021,LIRR,Best Case (Dec 2020),0.6
07/01/2021,LIRR,Midpoint (Dec 2020),0.425
07/01/2021,LIRR,Worst Case (Dec 2020),0.25
07/01/2021,MNR,Best Case (Dec 2020),0.56
07/01/2021,MNR,Midpoint (Dec 2020),0.385
07/01/2021,MNR,Worst Case (Dec 2020),0.21
07/01/2021,SIR,Best Case (Dec 2020),0.68
07/01/2021,SIR,Midpoint (Dec 2020),0.49
07/01/2021,SIR,Worst Case (Dec 2020),0.3
07/01/2021,BT,Best Case (May 2020),0.8
07/01/2021,BT,Midpoint (May 2020),0.675
07/01/2021,BT,Worst Case (May 2020),0.55
07/01/2021,BT,Best Case (Nov 2020),1
07/01/2021,BT,Midpoint (Nov 2020),0.935
07/01/2021,BT,Worst Case (Nov 2020),0.87
07/01/2021,BT,Best Case (Dec 2020),1
07/01/2021,BT,Midpoint (Dec 2020),0.935
07/01/2021,BT,Worst Case (Dec 2020),0.87
07/01/2021,MTA Consolidated,Best Case (May 2020),0.65
07/01/2021,MTA Consolidated,Midpoint (May 2020),0.525
07/01/2021,MTA Consolidated,Worst Case (May 2020),0.4
07/01/2021,MTA Consolidated,Best Case (Nov 2020),0.51
07/01/2021,MTA Consolidated,Midpoint (Nov 2020),0.405
07/01/2021,MTA Consolidated,Worst Case (Nov 2020),0.3
07/01/2021,MTA Consolidated,Best Case (Dec 2020),0.7
07/01/2021,MTA Consolidated,Midpoint (Dec 2020),0.51
07/01/2021,MTA Consolidated,Worst Case (Dec 2020),0.32
08/01/2021,Subway,Best Case (Dec 2020),0.68
08/01/2021,Subway,Midpoint (Dec 2020),0.49
08/01/2021,Subway,Worst Case (Dec 2020),0.3
08/01/2021,Bus,Best Case (Dec 2020),0.77
08/01/2021,Bus,Midpoint (Dec 2020),0.575
08/01/2021,Bus,Worst Case (Dec 2020),0.38
08/01/2021,LIRR,Best Case (Dec 2020),0.6
08/01/2021,LIRR,Midpoint (Dec 2020),0.425
08/01/2021,LIRR,Worst Case (Dec 2020),0.25
08/01/2021,MNR,Best Case (Dec 2020),0.56
08/01/2021,MNR,Midpoint (Dec 2020),0.385
08/01/2021,MNR,Worst Case (Dec 2020),0.21
08/01/2021,SIR,Best Case (Dec 2020),0.68
08/01/2021,SIR,Midpoint (Dec 2020),0.49
08/01/2021,SIR,Worst Case (Dec 2020),0.3
08/01/2021,BT,Best Case (May 2020),0.85
08/01/2021,BT,Midpoint (May 2020),0.725
08/01/2021,BT,Worst Case (May 2020),0.6
08/01/2021,BT,Best Case (Nov 2020),1
08/01/2021,BT,Midpoint (Nov 2020),0.935
08/01/2021,BT,Worst Case (Nov 2020),0.87
08/01/2021,BT,Best Case (Dec 2020),1
08/01/2021,BT,Midpoint (Dec 2020),0.935
08/01/2021,BT,Worst Case (Dec 2020),0.87
08/01/2021,MTA Consolidated,Best Case (May 2020),0.675
08/01/2021,MTA Consolidated,Midpoint (May 2020),0.588
08/01/2021,MTA Consolidated,Worst Case (May 2020),0.5
08/01/2021,MTA Consolidated,Best Case (Nov 2020),0.51
08/01/2021,MTA Consolidated,Midpoint (Nov 2020),0.405
08/01/2021,MTA Consolidated,Worst Case (Nov 2020),0.3
08/01/2021,MTA Consolidated,Best Case (Dec 2020),0.7
08/01/2021,MTA Consolidated,Midpoint (Dec 2020),0.51
08/01/2021,MTA Consolidated,Worst Case (Dec 2020),0.32
09/01/2021,Subway,Best Case (Dec 2020),0.68
09/01/2021,Subway,Midpoint (Dec 2020),0.49
09/01/2021,Subway,Worst Case (Dec 2020),0.3
09/01/2021,Bus,Best Case (Dec 2020),0.77
09/01/2021,Bus,Midpoint (Dec 2020),0.575
09/01/2021,Bus,Worst Case (Dec 2020),0.38
09/01/2021,LIRR,Best Case (Dec 2020),0.6
09/01/2021,LIRR,Midpoint (Dec 2020),0.425
09/01/2021,LIRR,Worst Case (Dec 2020),0.25
09/01/2021,MNR,Best Case (Dec 2020),0.56
09/01/2021,MNR,Midpoint (Dec 2020),0.385
09/01/2021,MNR,Worst Case (Dec 2020),0.21
09/01/2021,SIR,Best Case (Dec 2020),0.68
09/01/2021,SIR,Midpoint (Dec 2020),0.49
09/01/2021,SIR,Worst Case (Dec 2020),0.3
09/01/2021,BT,Best Case (May 2020),0.85
09/01/2021,BT,Midpoint (May 2020),0.775
09/01/2021,BT,Worst Case (May 2020),0.7
09/01/2021,BT,Best Case (Nov 2020),1
09/01/2021,BT,Midpoint (Nov 2020),0.935
09/01/2021,BT,Worst Case (Nov 2020),0.87
09/01/2021,BT,Best Case (Dec 2020),1
09/01/2021,BT,Midpoint (Dec 2020),0.935
09/01/2021,BT,Worst Case (Dec 2020),0.87
09/01/2021,MTA Consolidated,Best Case (May 2020),0.7
09/01/2021,MTA Consolidated,Midpoint (May 2020),0.65
09/01/2021,MTA Consolidated,Worst Case (May 2020),0.6
09/01/2021,MTA Consolidated,Best Case (Nov 2020),0.51
09/01/2021,MTA Consolidated,Midpoint (Nov 2020),0.405
09/01/2021,MTA Consolidated,Worst Case (Nov 2020),0.3
09/01/2021,MTA Consolidated,Best Case (Dec 2020),0.7
09/01/2021,MTA Consolidated,Midpoint (Dec 2020),0.51
09/01/2021,MTA Consolidated,Worst Case (Dec 2020),0.32
10/01/2021,Subway,Best Case (Dec 2020),0.78
10/01/2021,Subway,Midpoint (Dec 2020),0.555
10/01/2021,Subway,Worst Case (Dec 2020),0.33
10/01/2021,Bus,Best Case (Dec 2020),0.84
10/01/2021,Bus,Midpoint (Dec 2020),0.62
10/01/2021,Bus,Worst Case (Dec 2020),0.4
10/01/2021,LIRR,Best Case (Dec 2020),0.7
10/01/2021,LIRR,Midpoint (Dec 2020),0.495
10/01/2021,LIRR,Worst Case (Dec 2020),0.29
10/01/2021,MNR,Best Case (Dec 2020),0.64
10/01/2021,MNR,Midpoint (Dec 2020),0.44
10/01/2021,MNR,Worst Case (Dec 2020),0.24
10/01/2021,SIR,Best Case (Dec 2020),0.78
10/01/2021,SIR,Midpoint (Dec 2020),0.555
10/01/2021,SIR,Worst Case (Dec 2020),0.33
10/01/2021,BT,Best Case (May 2020),0.85
10/01/2021,BT,Midpoint (May 2020),0.775
10/01/2021,BT,Worst Case (May 2020),0.7
10/01/2021,BT,Best Case (Nov 2020),0.98
10/01/2021,BT,Midpoint (Nov 2020),0.92
10/01/2021,BT,Worst Case (Nov 2020),0.86
10/01/2021,BT,Best Case (Dec 2020),0.98
10/01/2021,BT,Midpoint (Dec 2020),0.92
10/01/2021,BT,Worst Case (Dec 2020),0.86
10/01/2021,MTA Consolidated,Best Case (May 2020),0.75
10/01/2021,MTA Consolidated,Midpoint (May 2020),0.675
10/01/2021,MTA Consolidated,Worst Case (May 2020),0.6
10/01/2021,MTA Consolidated,Best Case (Nov 2020),0.69
10/01/2021,MTA Consolidated,Midpoint (Nov 2020),0.525
10/01/2021,MTA Consolidated,Worst Case (Nov 2020),0.36
10/01/2021,MTA Consolidated,Best Case (Dec 2020),0.79
10/01/2021,MTA Consolidated,Midpoint (Dec 2020),0.57
10/01/2021,MTA Consolidated,Worst Case (Dec 2020),0.35
11/01/2021,Subway,Best Case (Dec 2020),0.78
11/01/2021,Subway,Midpoint (Dec 2020),0.555
11/01/2021,Subway,Worst Case (Dec 2020),0.33
11/01/2021,Bus,Best Case (Dec 2020),0.84
11/01/2021,Bus,Midpoint (Dec 2020),0.62
11/01/2021,Bus,Worst Case (Dec 2020),0.4
11/01/2021,LIRR,Best Case (Dec 2020),0.7
11/01/2021,LIRR,Midpoint (Dec 2020),0.495
11/01/2021,LIRR,Worst Case (Dec 2020),0.29
11/01/2021,MNR,Best Case (Dec 2020),0.64
11/01/2021,MNR,Midpoint (Dec 2020),0.44
11/01/2021,MNR,Worst Case (Dec 2020),0.24
11/01/2021,SIR,Best Case (Dec 2020),0.78
11/01/2021,SIR,Midpoint (Dec 2020),0.555
11/01/2021,SIR,Worst Case (Dec 2020),0.33
11/01/2021,BT,Best Case (May 2020),0.85
11/01/2021,BT,Midpoint (May 2020),0.775
11/01/2021,BT,Worst Case (May 2020),0.7
11/01/2021,BT,Best Case (Nov 2020),0.98
11/01/2021,BT,Midpoint (Nov 2020),0.92
11/01/2021,BT,Worst Case (Nov 2020),0.86
11/01/2021,BT,Best Case (Dec 2020),0.98
11/01/2021,BT,Midpoint (Dec 2020),0.92
11/01/2021,BT,Worst Case (Dec 2020),0.86
11/01/2021,MTA Consolidated,Best Case (May 2020),0.8
11/01/2021,MTA Consolidated,Midpoint (May 2020),0.7
11/01/2021,MTA Consolidated,Worst Case (May 2020),0.6
11/01/2021,MTA Consolidated,Best Case (Nov 2020),0.69
11/01/2021,MTA Consolidated,Midpoint (Nov 2020),0.525
11/01/2021,MTA Consolidated,Worst Case (Nov 2020),0.36
11/01/2021,MTA Consolidated,Best Case (Dec 2020),0.79
11/01/2021,MTA Consolidated,Midpoint (Dec 2020),0.57
11/01/2021,MTA Consolidated,Worst Case (Dec 2020),0.35
12/01/2021,Subway,Best Case (Dec 2020),0.78
12/01/2021,Subway,Midpoint (Dec 2020),0.555
12/01/2021,Subway,Worst Case (Dec 2020),0.33
12/01/2021,Bus,Best Case (Dec 2020),0.84
12/01/2021,Bus,Midpoint (Dec 2020),0.62
12/01/2021,Bus,Worst Case (Dec 2020),0.4
12/01/2021,LIRR,Best Case (Dec 2020),0.7
12/01/2021,LIRR,Midpoint (Dec 2020),0.495
12/01/2021,LIRR,Worst Case (Dec 2020),0.29
12/01/2021,MNR,Best Case (Dec 2020),0.64
12/01/2021,MNR,Midpoint (Dec 2020),0.44
12/01/2021,MNR,Worst Case (Dec 2020),0.24
12/01/2021,SIR,Best Case (Dec 2020),0.78
12/01/2021,SIR,Midpoint (Dec 2020),0.555
12/01/2021,SIR,Worst Case (Dec 2020),0.33
12/01/2021,BT,Best Case (May 2020),0.85
12/01/2021,BT,Midpoint (May 2020),0.775
12/01/2021,BT,Worst Case (May 2020),0.7
12/01/2021,BT,Best Case (Nov 2020),0.98
12/01/2021,BT,Midpoint (Nov 2020),0.92
12/01/2021,BT,Worst Case (Nov 2020),0.86
12/01/2021,BT,Best Case (Dec 2020),0.98
12/01/2021,BT,Midpoint (Dec 2020),0.92
12/01/2021,BT,Worst Case (Dec 2020),0.86
12/01/2021,MTA Consolidated,Best Case (May 2020),0.85
12/01/2021,MTA Consolidated,Midpoint (May 2020),0.725
12/01/2021,MTA Consolidated,Worst Case (May 2020),0.6
12/01/2021,MTA Consolidated,Best Case (Nov 2020),0.69
12/01/2021,MTA Consolidated,Midpoint (Nov 2020),0.525
