Month,Borough,Monthly Miles,Monthly Road Call Count,Monthly MDBF
05/01/2023,Manhattan,1319483,260,5075
05/01/2023,Queens,4224855,576,7335
05/01/2023,Staten Island,2327008,105,22162
04/01/2023,Bronx,2134022,396,5389
04/01/2023,Brooklyn,2797467,388,7210
04/01/2023,Manhattan,1294239,263,4921
04/01/2023,Queens,4097121,522,7849
04/01/2023,Staten Island,2197915,92,23890
03/01/2023,Bronx,2253966,416,5418
03/01/2023,Brooklyn,2969057,410,7242
03/01/2023,Manhattan,1358589,264,5146
03/01/2023,Queens,4448848,592,7515
03/01/2023,Staten Island,2467216,107,23058
02/01/2023,Bronx,1989033,350,5683
02/01/2023,Brooklyn,2630692,384,6851
02/01/2023,Manhattan,1202424,233,5161
02/01/2023,Queens,3852156,521,7394
02/01/2023,Staten Island,2106446,103,20451
01/01/2023,Bronx,2180546,443,4922
01/01/2023,Brooklyn,2917883,403,7240
01/01/2023,Manhattan,1309882,268,4888
01/01/2023,Queens,4211232,509,8274
01/01/2023,Staten Island,2257885,102,22136
12/01/2022,Bronx,2139233,472,4532
12/01/2022,Brooklyn,2830783,490,5777
12/01/2022,Manhattan,1289177,301,4283
12/01/2022,Queens,4079722,623,6549
12/01/2022,Staten Island,2202655,114,19322
11/01/2022,Bronx,2117732,369,5739
11/01/2022,Brooklyn,2792603,340,8214
11/01/2022,Manhattan,1270611,264,4813
11/01/2022,Queens,4059056,546,7434
11/01/2022,Staten Island,2203751,95,23197
10/01/2022,Bronx,2202031,424,5193
10/01/2022,Brooklyn,2902793,436,6658
10/01/2022,Manhattan,1331654,278,4790
10/01/2022,Queens,4242196,618,6864
10/01/2022,Staten Island,2254164,93,24238
09/01/2022,Bronx,2141385,370,5788
09/01/2022,Brooklyn,2814721,413,6815
09/01/2022,Manhattan,1290665,280,4610
09/01/2022,Queens,4098070,526,7791
09/01/2022,Staten Island,2229698,105,21235
08/01/2022,Bronx,2247264,474,4741
08/01/2022,Brooklyn,2917264,480,6078
08/01/2022,Manhattan,1340292,334,4013
08/01/2022,Queens,4179147,684,6110
08/01/2022,Staten Island,2340864,102,22950
07/01/2022,Bronx,2184805,462,4729
07/01/2022,Brooklyn,2863482,476,6016
07/01/2022,Manhattan,1312458,327,4014
07/01/2022,Queens,4034680,638,6324
07/01/2022,Staten Island,2122748,92,23073
06/01/2022,Bronx,2166689,462,4690
06/01/2022,Brooklyn,2829469,430,6580
06/01/2022,Manhattan,1264002,343,3685
06/01/2022,Queens,4127077,616,6700
06/01/2022,Staten Island,2199581,108,20366
05/01/2022,Bronx,2160896,484,4465
05/01/2022,Brooklyn,2894558,391,7403
