month,borough,trip_type,route_id,period,number_of_customers,additional_bus_stop_time,additional_travel_time,customer_journey_time_performance
2025-01-01,Bronx,LCL/LTD,BX32,Off-Peak,114249.67,4.431741,1.860551,0.5568223
2025-01-01,Bronx,LCL/LTD,BX32,Peak,85082.836,5.5236325,1.997321,0.5161287
2025-01-01,Bronx,LCL/LTD,BX33,Off-Peak,36954.41,3.5326693,1.0548401,0.7193812
2025-01-01,Bronx,LCL/LTD,BX33,Peak,30001.639,3.6538868,0.35309565,0.67643046
2025-01-01,Bronx,LCL/LTD,BX34,Off-Peak,56913.65,3.3160114,1.0107917,0.7250263
2025-01-01,Bronx,LCL/LTD,BX34,Peak,37405.48,2.7890766,1.2880723,0.6871594
2025-01-01,Bronx,LCL/LTD,BX35,Off-Peak,296675.16,1.9122921,-1.3396716,0.8013958
2025-01-01,Bronx,LCL/LTD,BX35,Peak,190422.06,2.5951777,-1.4574798,0.7830259
2025-01-01,Bronx,LCL/LTD,BX36,Off-Peak,445040.3,2.2907665,0.7714861,0.693153
2025-01-01,Bronx,LCL/LTD,BX36,Peak,293739.3,2.489062,-0.38107184,0.73347545
2025-01-01,Bronx,LCL/LTD,BX38,Off-Peak,125251.02,1.9801016,-0.09233644,0.7611578
2025-01-01,Bronx,LCL/LTD,BX38,Peak,85628.55,1.5810621,-0.37283725,0.80456746
2025-01-01,Bronx,LCL/LTD,BX39,Off-Peak,300612.4,2.2960203,0.5156459,0.71323496
2025-01-01,Bronx,LCL/LTD,BX39,Peak,181383.78,1.8188123,-0.09173678,0.76441044
2025-01-01,Bronx,LCL/LTD,BX4,Off-Peak,117633,2.3182743,0.53679633,0.7252472
2025-01-01,Bronx,LCL/LTD,BX4,Peak,64057.58,2.2981482,0.3678684,0.7126652
2025-01-01,Bronx,LCL/LTD,BX40,Off-Peak,184046.64,1.989376,0.86814016,0.72537977
2025-01-01,Bronx,LCL/LTD,BX40,Peak,104671.164,2.0136874,0.6405748,0.7304687
2025-01-01,Bronx,LCL/LTD,BX41,Off-Peak,237987.97,2.6343277,0.13759795,0.7067297
2025-01-01,Bronx,LCL/LTD,BX41,Peak,113277.99,2.8188405,0.3228595,0.65632176
2025-01-01,Bronx,SBS,BX41+,Off-Peak,238079.67,2.8259768,1.0075114,0.6478815
2025-01-01,Bronx,SBS,BX41+,Peak,148223,3.2994893,0.8895811,0.6308927
2025-01-01,Bronx,LCL/LTD,BX42,Off-Peak,188401.94,2.0734613,0.8182141,0.7135955
2025-01-01,Bronx,LCL/LTD,BX42,Peak,108052.32,2.1205652,0.53138626,0.7232542
2025-01-01,Bronx,LCL/LTD,BX46,Off-Peak,9346.233,2.913466,-0.2862332,0.8562792
2025-01-01,Bronx,LCL/LTD,BX46,Peak,4550.3545,2.9935496,-0.36669204,0.83655095
2025-01-01,Bronx,LCL/LTD,BX4A,Off-Peak,80049.21,1.7938274,0.20654783,0.7952611
2025-01-01,Bronx,LCL/LTD,BX4A,Peak,50734.94,2.3607259,0.22436303,0.75459474
2025-01-01,Bronx,LCL/LTD,BX5,Off-Peak,173297.73,2.2688131,0.79106975,0.709932
2025-01-01,Bronx,LCL/LTD,BX5,Peak,125302.336,2.3441741,1.1733987,0.6720381
2025-01-01,Bronx,LCL/LTD,BX6,Off-Peak,220253.25,1.7384509,-0.0367683,0.7633421
2025-01-01,Bronx,LCL/LTD,BX6,Peak,131197.28,1.7780035,-0.6241317,0.76663566
2025-01-01,Bronx,SBS,BX6+,Off-Peak,205165.8,1.3592384,0.67532456,0.7274173
2025-01-01,Bronx,SBS,BX6+,Peak,133584.23,1.6917778,-0.04725678,0.72761
2025-01-01,Bronx,LCL/LTD,BX7,Off-Peak,228110.27,1.3586712,0.872156,0.7509813
2025-01-01,Bronx,LCL/LTD,BX7,Peak,156233.23,1.5399052,0.69177574,0.7601707
2025-01-01,Bronx,LCL/LTD,BX8,Off-Peak,125384.016,2.1752582,1.526337,0.65963787
2025-01-01,Bronx,LCL/LTD,BX8,Peak,93897.51,2.1789308,1.2070583,0.65864176
2025-01-01,Bronx,LCL/LTD,BX9,Off-Peak,482900.47,1.282557,0.16622075,0.7836046
2025-01-01,Bronx,LCL/LTD,BX9,Peak,313586.88,1.3173629,0.098804206,0.81432116
2025-01-01,Bronx,EXP,BXM1,Off-Peak,19175.184,3.492196,-2.3196347,0.71478313
2025-01-01,Bronx,EXP,BXM1,Peak,12809.456,2.7861412,-5.826897,0.774109
2025-01-01,Bronx,EXP,BXM10,Off-Peak,17295.545,2.1448789,-2.5797715,0.80260974
2025-01-01,Bronx,EXP,BXM10,Peak,15163.092,1.534084,-5.063804,0.8545662
2025-01-01,Bronx,EXP,BXM11,Off-Peak,14116.962,4.2063136,-2.6685061,0.7064974
2025-01-01,Bronx,EXP,BXM11,Peak,8930.862,2.725909,-5.043282,0.747093
2025-01-01,Bronx,EXP,BXM18,Off-Peak,1449.4307,1.9749591,-4.093424,0.8906469
