month,borough,trip_type,route_id,period,number_of_customers,additional_bus_stop_time,additional_travel_time,customer_journey_time_performance
2020-01-01,Bronx,LCL/LTD,BX34,Off-Peak,58082.85,3.270538,1.6088856,0.6743245
2020-01-01,Bronx,LCL/LTD,BX34,Peak,38847.164,5.5069036,3.355055,0.53602827
2020-01-01,Bronx,LCL/LTD,BX35,Off-Peak,198928.58,3.1392906,1.5051695,0.60243773
2020-01-01,Bronx,LCL/LTD,BX35,Peak,138299.83,3.4349759,1.823187,0.5754113
2020-01-01,Bronx,LCL/LTD,BX36,Off-Peak,384382.5,2.8220303,1.3931818,0.63935035
2020-01-01,Bronx,LCL/LTD,BX36,Peak,288457.7,3.623618,1.4182497,0.5956165
2020-01-01,Bronx,LCL/LTD,BX38,Off-Peak,84931.45,1.8407589,0.64659125,0.74776685
2020-01-01,Bronx,LCL/LTD,BX38,Peak,55268.074,2.0922756,0.60489184,0.721721
2020-01-01,Bronx,LCL/LTD,BX39,Off-Peak,255701.38,2.7453115,0.8377783,0.6732973
2020-01-01,Bronx,LCL/LTD,BX39,Peak,159597.7,2.509135,0.7470824,0.67940795
2020-01-01,Bronx,LCL/LTD,BX4,Off-Peak,71849.92,4.452973,1.0976151,0.6258214
2020-01-01,Bronx,LCL/LTD,BX4,Peak,47336.555,2.8084238,0.9166557,0.66898197
2020-01-01,Bronx,LCL/LTD,BX40,Off-Peak,181610,1.6223053,0.5363381,0.7648028
2020-01-01,Bronx,LCL/LTD,BX40,Peak,114151.96,1.5379546,0.6677396,0.74571246
2020-01-01,Bronx,LCL/LTD,BX41,Off-Peak,139957.23,3.1020665,1.0323414,0.6606699
2020-01-01,Bronx,LCL/LTD,BX41,Peak,76621.46,4.3552833,1.7063599,0.5839506
2020-01-01,Bronx,SBS,BX41+,Off-Peak,115463.93,1.7215697,0.5253523,0.7464245
2020-01-01,Bronx,SBS,BX41+,Peak,81316.95,2.7329113,1.1956261,0.6549055
2020-01-01,Bronx,LCL/LTD,BX42,Off-Peak,175490.75,1.8508807,0.3669039,0.7384499
2020-01-01,Bronx,LCL/LTD,BX42,Peak,109158.17,1.7710696,0.46414608,0.7378119
2020-01-01,Bronx,LCL/LTD,BX46,Off-Peak,12322.272,1.5321121,-0.11323306,0.9207435
2020-01-01,Bronx,LCL/LTD,BX46,Peak,8304.713,2.1800122,0.24871849,0.8910964
2020-01-01,Bronx,LCL/LTD,BX4A,Off-Peak,76912.97,4.349282,0.6695142,0.6481908
2020-01-01,Bronx,LCL/LTD,BX4A,Peak,54732.53,2.6556873,0.7478975,0.697067
2020-01-01,Bronx,LCL/LTD,BX5,Off-Peak,169879.27,2.0493658,1.4528681,0.6914121
2020-01-01,Bronx,LCL/LTD,BX5,Peak,123180.73,2.091096,1.7380066,0.6441575
2020-01-01,Bronx,LCL/LTD,BX6,Off-Peak,174132.62,1.4343282,0.39735216,0.7633202
2020-01-01,Bronx,LCL/LTD,BX6,Peak,108215.34,1.4609185,0.0240782,0.7641435
2020-01-01,Bronx,SBS,BX6+,Off-Peak,178313.69,0.76456946,0.62012446,0.7779017
2020-01-01,Bronx,SBS,BX6+,Peak,131533.86,1.1484449,0.24426886,0.77264106
2020-01-01,Bronx,LCL/LTD,BX7,Off-Peak,202732.55,1.451984,1.0337155,0.7281366
2020-01-01,Bronx,LCL/LTD,BX7,Peak,153272.45,1.258971,1.1445675,0.7385729
2020-01-01,Bronx,LCL/LTD,BX8,Off-Peak,110890.164,1.4405656,0.55238837,0.77771574
2020-01-01,Bronx,LCL/LTD,BX8,Peak,88278.51,1.3575116,0.5856338,0.76246476
2020-01-01,Bronx,LCL/LTD,BX9,Off-Peak,372713.25,1.3701633,0.50392663,0.76888686
2020-01-01,Bronx,LCL/LTD,BX9,Peak,255606.61,1.667824,0.85317117,0.74977094
2020-01-01,Bronx,EXP,BXM1,Off-Peak,15829.98,2.697099,-2.3281357,0.73266107
2020-01-01,Bronx,EXP,BXM1,Peak,12868.148,1.7574855,-5.024768,0.8302679
2020-01-01,Bronx,EXP,BXM10,Off-Peak,15478.499,1.8951836,5.2098756,0.5071913
2020-01-01,Bronx,EXP,BXM10,Peak,15661.231,1.5880449,9.872598,0.27206206
2020-01-01,Bronx,EXP,BXM11,Off-Peak,12590.31,3.9092774,-1.0687222,0.684727
2020-01-01,Bronx,EXP,BXM11,Peak,10663.132,2.3747883,-1.9556183,0.70645005
2020-01-01,Bronx,EXP,BXM18,Off-Peak,2187.198,1.5184659,-0.76792455,0.7026206
2020-01-01,Bronx,EXP,BXM18,Peak,3895.3376,2.236518,-1.900306,0.68449324
2020-01-01,Bronx,EXP,BXM2,Off-Peak,9391.315,3.8977132,0.92668444,0.5930763
2020-01-01,Bronx,EXP,BXM2,Peak,6224.754,3.3861551,0.8894839,0.57671213
2020-01-01,Bronx,EXP,BXM3,Off-Peak,7893.2036,4.1876717,4.5478215,0.45447218
2020-01-01,Bronx,EXP,BXM3,Peak,7291.364,2.9436624,4.2233076,0.42540175
2020-01-01,Bronx,EXP,BXM4,Off-Peak,3844.739,6.8266416,0.16007051,0.64859086
2020-01-01,Bronx,EXP,BXM4,Peak,3909.7449,4.71648,-3.9764593,0.71527535
2020-01-01,Bronx,EXP,BXM6,Off-Peak,5286.876,3.7676308,-3.4326944,0.8715326
2020-01-01,Bronx,EXP,BXM6,Peak,6545.0195,2.1378443,-2.8272917,0.816997
2020-01-01,Bronx,EXP,BXM7,Off-Peak,28059.09,2.6486025,1.8709863,0.6251907
2020-01-01,Bronx,EXP,BXM7,Peak,23030.088,2.1311946,5.5365443,0.42178705
2020-01-01,Bronx,EXP,BXM8,Off-Peak,14241.174,2.401225,3.2555501,0.5605255
2020-01-01,Bronx,EXP,BXM8,Peak,17322.23,1.7058128,5.716917,0.4024917
2020-01-01,Bronx,EXP,BXM9,Off-Peak,18802.176,2.0150754,1.4476764,0.6278949
2020-01-01,Bronx,EXP,BXM9,Peak,16970.844,1.223553,1.8087776,0.59300566
2020-01-01,Brooklyn,LCL/LTD,B1,Off-Peak,329801.75,1.512124,0.84130245,0.7474217
2020-01-01,Brooklyn,LCL/LTD,B1,Peak,227203.89,1.4714618,0.5850876,0.771401
