month,borough,day_type,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2025-01-01,Bronx,2,LCL/LTD,BX22,Off-Peak,605,4485.345,7.4046106
2025-01-01,Bronx,2,LCL/LTD,BX22,Peak,242,1687.431,6.9540734
2025-01-01,Bronx,1,LCL/LTD,BX23,Off-Peak,1011,11438.268,11.309183
2025-01-01,Bronx,1,LCL/LTD,BX23,Peak,988,10805.028,10.930473
2025-01-01,Bronx,2,LCL/LTD,BX23,Off-Peak,234,2692.776,11.491929
2025-01-01,Bronx,2,LCL/LTD,BX23,Peak,105,1178.328,11.128783
2025-01-01,Bronx,1,LCL/LTD,BX24,Off-Peak,548,5217.906,9.513095
2025-01-01,Bronx,1,LCL/LTD,BX24,Peak,205,1788.485,8.705491
2025-01-01,Bronx,2,LCL/LTD,BX24,Off-Peak,178,1900.099,10.643404
2025-01-01,Bronx,2,LCL/LTD,BX24,Peak,61,631.977,10.346474
2025-01-01,Bronx,1,LCL/LTD,BX25,Off-Peak,1025,8430.394,8.218268
2025-01-01,Bronx,1,LCL/LTD,BX25,Peak,512,3894.541,7.6051183
2025-01-01,Bronx,2,LCL/LTD,BX25,Off-Peak,286,2552.531,8.916628
2025-01-01,Bronx,2,LCL/LTD,BX25,Peak,123,1070.377,8.675606
2025-01-01,Bronx,1,LCL/LTD,BX26,Off-Peak,910,7032.335,7.726416
2025-01-01,Bronx,1,LCL/LTD,BX26,Peak,525,3614.128,6.8724427
2025-01-01,Bronx,2,LCL/LTD,BX26,Off-Peak,273,2218.3,8.1253605
2025-01-01,Bronx,2,LCL/LTD,BX26,Peak,119,950.46,7.926867
2025-01-01,Bronx,1,LCL/LTD,BX27,Off-Peak,1177,9307.088,7.9036837
2025-01-01,Bronx,1,LCL/LTD,BX27,Peak,746,5093.651,6.8213134
2025-01-01,Bronx,2,LCL/LTD,BX27,Off-Peak,314,2688.52,8.548463
2025-01-01,Bronx,2,LCL/LTD,BX27,Peak,142,1131.382,7.918222
2025-01-01,Bronx,1,LCL/LTD,BX28,Off-Peak,2651,19913.195,7.5096173
2025-01-01,Bronx,1,LCL/LTD,BX28,Peak,1104,7244.884,6.5569324
2025-01-01,Bronx,2,LCL/LTD,BX28,Off-Peak,637,5340.313,8.375622
2025-01-01,Bronx,2,LCL/LTD,BX28,Peak,223,1712.256,7.645204
2025-01-01,Bronx,1,LCL/LTD,BX29,Off-Peak,343,6189.3643,18.025013
2025-01-01,Bronx,1,LCL/LTD,BX29,Peak,179,3020.442,16.799574
2025-01-01,Bronx,2,LCL/LTD,BX29,Off-Peak,146,2581.995,17.668493
2025-01-01,Bronx,2,LCL/LTD,BX29,Peak,46,783.35004,16.731693
2025-01-01,Bronx,1,LCL/LTD,BX3,Off-Peak,2276,17633.389,7.7452035
2025-01-01,Bronx,1,LCL/LTD,BX3,Peak,1144,7763.304,6.7841907
2025-01-01,Bronx,2,LCL/LTD,BX3,Off-Peak,669,5442.178,8.122863
2025-01-01,Bronx,2,LCL/LTD,BX3,Peak,296,2321.464,7.8230424
2025-01-01,Bronx,1,LCL/LTD,BX30,Off-Peak,1928,16140.069,8.371315
2025-01-01,Bronx,1,LCL/LTD,BX30,Peak,1189,9603.647,8.075547
2025-01-01,Bronx,2,LCL/LTD,BX30,Off-Peak,471,4094.576,8.683264
2025-01-01,Bronx,2,LCL/LTD,BX30,Peak,225,1885.6849,8.372119
2025-01-01,Bronx,1,LCL/LTD,BX31,Off-Peak,1979,15800.458,7.9817123
2025-01-01,Bronx,1,LCL/LTD,BX31,Peak,1002,7303.9272,7.287171
2025-01-01,Bronx,2,LCL/LTD,BX31,Off-Peak,461,4134.272,8.949598
2025-01-01,Bronx,2,LCL/LTD,BX31,Peak,182,1561.098,8.566336
2025-01-01,Bronx,1,LCL/LTD,BX32,Off-Peak,1647,9770.086,5.9310455
2025-01-01,Bronx,1,LCL/LTD,BX32,Peak,873,4784.6978,5.480571
2025-01-01,Bronx,2,LCL/LTD,BX32,Off-Peak,294,2026.672,6.888977
2025-01-01,Bronx,2,LCL/LTD,BX32,Peak,127,864.729,6.786949
2025-01-01,Bronx,1,LCL/LTD,BX33,Off-Peak,568,4123.284,7.2528334
2025-01-01,Bronx,1,LCL/LTD,BX33,Peak,312,1788.189,5.7150316
2025-01-01,Bronx,2,LCL/LTD,BX33,Off-Peak,117,944.47003,8.053617
2025-01-01,Bronx,2,LCL/LTD,BX33,Peak,59,441.63602,7.482291
2025-01-01,Bronx,1,LCL/LTD,BX34,Off-Peak,914,7504.82,8.210479
2025-01-01,Bronx,1,LCL/LTD,BX34,Peak,428,2997.887,6.9896884
2025-01-01,Bronx,2,LCL/LTD,BX34,Off-Peak,216,1971.394,9.10882
2025-01-01,Bronx,2,LCL/LTD,BX34,Peak,96,838.06,8.69778
2025-01-01,Bronx,1,LCL/LTD,BX35,Off-Peak,2505,14629.249,5.8396945
2025-01-01,Bronx,1,LCL/LTD,BX35,Peak,1125,5660.321,5.029675
2025-01-01,Bronx,2,LCL/LTD,BX35,Off-Peak,634,4062.551,6.402415
2025-01-01,Bronx,2,LCL/LTD,BX35,Peak,263,1587.89,6.0240903
2025-01-01,Bronx,1,LCL/LTD,BX36,Off-Peak,4414,28585.307,6.4757566
